Target_genes	ELK1|Average	SRX2424218|A549	SRX2424219|A549	SRX4637892|Dermal_fibroblast	SRX4637894|Dermal_fibroblast	SRX150425|GM12878	SRX028646|HeLa	SRX150406|HeLa	SRX10475061|Hep_G2	SRX10475062|Hep_G2	SRX2424280|IMR-90	SRX2424281|IMR-90	SRX186625|K-562	SRX2423865|MCF-7	SRX2423866|MCF-7	STRING
NR1H2	392.357143	0	0	0	0	1068	714	1285	229	404	0	0	446	1145	202	0
ZNF696	383.500000	0	0	0	0	1378	414	1268	296	354	0	0	376	1025	258	0
USP32	376.071429	0	0	0	0	302	163	198	91	215	0	0	390	2468	1438	0
STYXL1	376.000000	0	0	0	0	935	573	738	122	144	0	0	764	1283	705	0
DDX39B	375.428571	0	0	0	0	849	678	715	202	365	0	0	788	1294	365	0
GOLGA1	372.000000	0	0	0	0	833	409	807	193	137	0	0	682	1637	510	0
NDUFS3	370.785714	0	0	0	0	1139	608	1094	385	403	0	0	543	810	209	0
KBTBD4	370.785714	0	0	0	0	1139	608	1094	385	403	0	0	543	810	209	0
UBLCP1	369.000000	0	0	0	0	722	765	938	167	274	0	0	502	1441	357	0
MRPL10	366.071429	0	0	0	0	1052	217	503	205	322	0	0	351	1866	609	0
LRRC46	366.071429	0	0	0	0	1052	217	503	205	322	0	0	351	1866	609	0
TCF7	364.785714	0	0	0	0	1444	181	1212	127	194	101	0	954	632	262	0
CSNK1A1	364.214286	0	0	0	0	669	518	698	122	213	0	0	532	2057	290	0
B4GALT1	361.642857	0	0	0	0	0	2248	0	0	0	0	0	0	2815	0	0
SREK1	361.428571	0	0	0	0	862	383	939	128	218	0	0	827	1225	478	0
GRPEL2	358.714286	0	0	0	0	988	624	962	145	259	0	0	434	1310	300	0
EIF2S1	355.714286	0	0	0	0	794	592	859	74	157	0	0	353	1473	678	0
ATP6V1D	355.714286	0	0	0	0	794	592	859	74	157	0	0	353	1473	678	0
LOC100289561	355.428571	0	0	0	0	622	559	566	174	183	0	0	694	1626	552	0
DUSP5	352.500000	0	0	0	0	953	587	592	0	0	0	0	649	1324	830	0
FBXW2	351.642857	0	0	0	0	881	423	1120	168	342	0	0	681	854	454	0
NUP35	345.000000	0	0	0	0	939	214	704	385	558	67	0	998	781	184	0
LIMA1	342.071429	0	0	0	0	938	1193	1128	0	0	131	0	1212	187	0	0
NRAS	337.714286	0	0	0	0	760	254	808	90	220	0	0	325	1596	675	0
FANCD2	337.285714	0	0	0	0	1095	206	946	194	340	0	0	744	937	260	0
CAP1	336.071429	0	0	0	0	1031	688	661	73	139	0	0	688	881	544	0
PAIP2	335.928571	0	0	0	0	524	654	799	118	342	0	0	603	1313	350	0
LEMD3	332.357143	0	0	0	0	642	255	626	438	347	0	0	359	1334	652	0
STAU1	329.714286	0	0	0	0	524	564	828	271	340	0	0	290	1446	353	0
DDX27	329.714286	0	0	0	0	524	564	828	271	340	0	0	290	1446	353	0
SECISBP2	328.071429	0	0	0	0	977	387	976	201	304	0	0	386	1011	351	0
TSR3	327.214286	0	0	0	0	1139	278	711	0	243	0	0	862	964	384	0
GNPTG	327.214286	0	0	0	0	1139	278	711	0	243	0	0	862	964	384	0
FAF2	327.142857	0	0	0	0	653	271	887	125	317	0	0	348	1484	495	0
PSMD12	326.214286	0	0	0	0	759	252	516	175	320	0	0	437	1721	387	0
EXOC2	326.071429	0	0	0	0	1137	266	699	329	463	0	0	868	644	159	0
RFC4	325.714286	0	0	0	0	755	427	1142	317	273	0	0	607	763	276	0
SNRPB	325.500000	0	0	0	0	1109	350	983	437	516	0	0	407	598	157	0
CWC25	323.571429	0	0	0	0	1133	259	1078	305	481	0	0	894	380	0	0
BATF2	323.357143	0	0	0	0	371	282	1079	451	734	0	0	398	554	658	0
TSSC4	319.928571	0	0	0	0	1020	410	614	85	344	0	0	594	1052	360	0
TRMT112	319.714286	0	0	0	0	496	887	659	88	159	0	0	559	1083	545	0
PRDX5	319.714286	0	0	0	0	496	887	659	88	159	0	0	559	1083	545	0
LUC7L2	315.714286	0	0	0	0	567	558	595	136	200	0	0	665	1302	397	0
FMC1-LUC7L2	315.714286	0	0	0	0	567	558	595	136	200	0	0	665	1302	397	0
FMC1	315.714286	0	0	0	0	567	558	595	136	200	0	0	665	1302	397	0
PTER	314.071429	0	0	0	0	1307	186	650	105	151	0	0	455	986	557	0
MORC3	314.000000	0	0	0	0	925	751	845	0	143	0	0	598	846	288	0
WFDC3	313.571429	0	0	0	0	971	161	966	169	260	0	0	426	1101	336	0
DNTTIP1	313.571429	0	0	0	0	971	161	966	169	260	0	0	426	1101	336	0
EIF2B2	309.071429	0	0	0	0	1458	275	480	0	86	0	0	257	1231	540	0
ODF2	308.500000	0	0	0	0	554	465	799	0	175	0	0	491	1289	546	0
UBE4A	306.500000	0	0	0	0	1025	167	817	141	248	0	0	502	964	427	0
XKR7	304.500000	0	0	0	0	407	0	299	1709	1549	0	0	122	177	0	0
RPS6	303.785714	0	0	0	0	665	897	647	207	397	0	0	270	889	281	0
TFG	303.500000	0	0	0	0	860	487	634	0	134	0	0	364	1357	413	0
GTF2H3	303.214286	0	0	0	0	1055	331	777	0	307	0	0	555	982	238	0
EIF2B1	303.214286	0	0	0	0	1055	331	777	0	307	0	0	555	982	238	0
RBM19	303.000000	0	0	0	0	942	400	870	128	322	0	0	445	839	296	0
NSA2	301.571429	0	0	0	0	1142	403	866	166	364	0	0	453	687	141	0
GFM2	301.571429	0	0	0	0	1142	403	866	166	364	0	0	453	687	141	0
ZNF184	300.357143	0	0	0	0	398	534	461	109	459	0	0	459	1437	348	0
PARD6B	300.142857	0	0	0	0	248	185	272	0	0	0	0	208	1936	1353	0
TTI1	299.857143	0	0	0	0	649	205	1051	415	403	0	0	616	737	122	0
RPRD1B	299.857143	0	0	0	0	649	205	1051	415	403	0	0	616	737	122	0
CCDC174	297.714286	0	0	0	0	606	406	623	117	267	0	0	593	1110	446	0
PGBD4	294.785714	0	0	0	0	987	271	748	99	226	0	0	555	921	320	0
EMC7	294.785714	0	0	0	0	987	271	748	99	226	0	0	555	921	320	0
ZNF251	294.000000	0	0	0	0	980	0	948	137	262	0	0	559	1035	195	0
NFX1	293.071429	0	0	0	0	592	438	589	119	386	0	0	521	1076	382	0
ECH1	292.000000	0	0	0	0	843	225	800	211	500	0	0	477	772	260	0
SNRPC	290.214286	0	0	0	0	588	260	622	152	314	0	0	719	1036	372	0
ERLIN2	289.071429	0	0	0	0	1265	0	743	299	578	0	0	764	398	0	0
TPD52L2	289.000000	0	0	0	0	517	292	349	123	156	0	0	216	1861	532	0
IPO4	288.000000	0	0	0	0	914	437	696	268	433	0	0	281	684	319	0
TBRG4	287.428571	0	0	0	0	852	373	764	183	422	0	0	314	811	305	0
THOC5	284.642857	0	0	0	0	794	283	636	245	437	0	0	443	849	298	0
NPAS4	282.142857	0	0	0	0	0	0	165	1843	1942	0	0	0	0	0	0
MPZL3	281.714286	0	0	0	0	439	439	406	79	248	0	0	131	1687	515	0
ISY1-RAB43	281.642857	0	0	0	0	591	546	533	0	140	0	0	276	1380	477	0
ISY1	281.642857	0	0	0	0	591	546	533	0	140	0	0	276	1380	477	0
KLHL20	281.428571	0	0	0	0	933	296	876	124	315	0	0	482	540	374	0
DIABLO	280.928571	0	0	0	0	589	84	967	259	265	0	0	270	1085	414	0
PSMD8	280.785714	0	0	0	0	585	348	242	79	126	0	0	405	1722	424	0
CTU1	280.785714	0	0	0	0	1053	415	718	0	214	0	0	507	869	155	0
TNPO3	280.571429	0	0	0	0	664	436	460	116	247	0	0	458	1152	395	0
SAP30BP	279.928571	0	0	0	0	532	283	412	0	142	0	0	211	1856	483	0
RECQL5	279.928571	0	0	0	0	532	283	412	0	142	0	0	211	1856	483	0
RAB11A	279.785714	0	0	0	0	948	381	1023	0	119	0	0	275	976	195	0
TOMM6	279.571429	0	0	0	0	708	288	919	215	447	0	0	482	611	244	0
BOD1L1	279.571429	0	0	0	0	970	517	610	198	285	0	0	558	560	216	0
MED18	279.285714	0	0	0	0	791	404	694	127	272	0	0	644	762	216	0
WDR45B	279.142857	0	0	0	0	868	231	673	129	325	0	0	462	927	293	0
CAAP1	277.928571	0	0	0	0	790	279	995	335	320	0	0	247	677	248	0
KDM5A	277.000000	0	0	0	0	1043	387	617	188	186	0	0	476	787	194	0
CCDC77	277.000000	0	0	0	0	1043	387	617	188	186	0	0	476	787	194	0
PPIP5K2	276.785714	0	0	0	0	906	474	747	126	152	0	0	467	785	218	0
GIN1	276.785714	0	0	0	0	906	474	747	126	152	0	0	467	785	218	0
SPATA33	275.500000	0	0	0	0	608	372	318	0	231	0	0	576	1329	423	0
ALKBH2	273.642857	0	0	0	0	572	383	570	283	321	0	0	498	887	317	0
COG3	273.357143	0	0	0	0	886	384	487	63	116	0	0	211	1102	578	0
TSSK6	273.142857	0	0	0	0	948	280	759	218	311	0	0	753	555	0	0
NDUFA13	273.142857	0	0	0	0	948	280	759	218	311	0	0	753	555	0	0
RGPD2	272.928571	173	369	0	0	605	753	722	0	0	272	135	792	0	0	0
RGPD1	272.928571	173	369	0	0	605	753	722	0	0	272	135	792	0	0	0
ACTB	272.714286	0	0	0	0	663	0	552	0	152	141	0	638	1340	332	0
TOR1A	270.357143	0	0	0	0	439	523	824	123	296	0	0	460	821	299	0
EXOSC4	270.285714	0	0	0	0	868	183	850	85	216	0	0	396	908	278	0
UFD1	268.714286	0	0	0	0	695	147	239	0	0	0	0	1061	1202	418	0
CDC45	268.714286	0	0	0	0	695	147	239	0	0	0	0	1061	1202	418	0
KIFC1	268.500000	0	0	0	0	453	338	393	98	334	0	0	354	1353	436	0
TUFM	268.357143	0	0	0	0	863	295	805	193	356	0	0	340	751	154	0
SH2B1	268.357143	0	0	0	0	863	295	805	193	356	0	0	340	751	154	0
STK16	267.571429	0	0	0	0	575	171	552	179	274	0	0	389	1119	487	0
GLB1L	267.571429	0	0	0	0	575	171	552	179	274	0	0	389	1119	487	0
COX7A2	267.142857	0	0	0	0	860	359	975	238	347	0	0	214	498	249	0
EIF1AD	266.428571	0	0	0	0	901	241	807	207	228	0	0	291	829	226	0
BANF1	266.428571	0	0	0	0	901	241	807	207	228	0	0	291	829	226	0
GSPT1	264.428571	0	0	0	0	766	137	474	122	222	0	0	379	1162	440	0
TOMM40	263.857143	0	0	0	0	411	443	472	0	121	0	0	580	1443	224	0
CFAP36	263.357143	0	0	0	0	551	300	344	0	0	0	0	548	1486	458	0
MUL1	263.071429	0	0	0	0	806	152	952	240	332	0	0	483	501	217	0
COPS8	262.714286	0	0	0	0	873	0	574	202	373	0	0	504	769	383	0
KATNA1	262.428571	0	0	0	0	411	234	343	363	694	0	0	551	875	203	0
RSU1	260.214286	0	0	0	0	656	314	274	0	87	0	0	405	1091	816	0
CPEB4	258.357143	0	0	0	0	701	317	637	129	172	0	0	250	1119	292	0
TOMM20	258.142857	0	0	0	0	461	392	600	100	211	0	0	569	1100	181	0
PFKFB3	256.714286	0	0	0	0	722	245	485	0	0	0	0	571	837	734	0
UBXN6	256.642857	0	0	0	0	989	229	933	178	372	0	0	483	409	0	0
PALB2	256.571429	0	0	0	0	589	337	571	172	305	0	0	484	862	272	0
DCTN5	256.571429	0	0	0	0	589	337	571	172	305	0	0	484	862	272	0
PSMD6	256.500000	0	0	0	0	479	0	161	0	147	0	0	146	1920	738	0
CALR3	256.285714	0	0	0	0	699	345	575	90	157	0	0	430	990	302	0
C19orf44	256.285714	0	0	0	0	699	345	575	90	157	0	0	430	990	302	0
U2SURP	255.500000	0	0	0	0	532	253	634	182	247	0	0	660	703	366	0
SNAP29	254.500000	0	0	0	0	1075	0	429	131	169	0	0	1079	484	196	0
PI4KA	254.500000	0	0	0	0	1075	0	429	131	169	0	0	1079	484	196	0
GPR137	253.785714	0	0	0	0	517	403	677	0	246	0	0	394	1013	303	0
SPG11	253.571429	0	0	0	0	496	535	684	86	128	0	0	563	841	217	0
TPRKB	253.500000	0	0	0	0	562	341	513	130	231	0	0	320	1074	378	0
C16orf91	253.285714	0	0	0	0	624	269	880	104	225	0	0	371	833	240	0
SLC35A4	251.571429	0	0	0	0	739	356	474	0	0	0	0	615	1023	315	0
APBB3	251.571429	0	0	0	0	739	356	474	0	0	0	0	615	1023	315	0
AP3S2	251.214286	0	0	0	0	604	345	924	236	255	0	0	284	735	134	0
POM121	250.571429	0	0	0	0	634	420	489	112	129	0	0	591	881	252	0
PURB	250.285714	0	0	0	0	689	272	585	0	183	0	0	600	835	340	0
PPIL4	250.285714	0	0	0	0	819	121	452	152	271	0	0	515	896	278	0
CCNT1	250.214286	0	0	0	0	735	380	686	133	192	0	0	263	816	298	0
ZNF79	249.928571	0	0	0	0	643	404	983	0	197	0	0	513	569	190	0
BCL2L1	249.357143	0	0	0	0	548	466	531	0	120	0	0	293	1277	256	0
SEC24A	249.214286	0	0	0	0	462	277	402	179	346	0	0	298	1046	479	0
RPS7	249.000000	0	0	0	0	935	252	715	312	422	0	0	387	323	140	0
B3GAT3	248.642857	0	0	0	0	505	520	619	156	136	0	0	360	859	326	0
SLX1B	246.500000	0	0	0	0	506	339	611	167	258	0	0	349	894	327	0
SLX1A	246.500000	0	0	0	0	506	339	611	167	258	0	0	349	894	327	0
BOLA2B	246.500000	0	0	0	0	506	339	611	167	258	0	0	349	894	327	0
BOLA2	246.500000	0	0	0	0	506	339	611	167	258	0	0	349	894	327	0
RSPH3	246.214286	0	0	0	0	1130	278	368	124	234	0	0	577	736	0	0
PPIG	245.857143	0	0	0	0	730	200	405	146	321	0	0	685	748	207	0
UMAD1	245.714286	0	0	0	0	331	362	324	0	122	0	0	317	1472	512	0
ELK4	244.928571	0	0	0	0	558	189	993	136	311	0	0	244	819	179	0
WDR1	244.857143	0	0	0	0	764	213	713	0	0	0	0	790	386	562	0
EIF3H	244.642857	0	0	0	0	655	350	793	121	287	0	0	320	753	146	0
ADPRS	244.071429	0	0	0	0	732	437	710	119	196	0	0	505	560	158	0
RTF2	243.785714	0	0	0	0	609	0	632	76	268	0	0	263	1167	398	0
NSUN5	243.214286	0	0	0	0	770	248	716	211	309	0	0	518	409	224	0
TIGD1	243.142857	0	0	0	0	567	190	444	182	434	0	0	601	789	197	0
EIF4E2	243.142857	0	0	0	0	567	190	444	182	434	0	0	601	789	197	0
AP1M1	242.928571	0	0	0	0	409	513	608	0	116	0	0	234	1128	393	0
DPP9	242.357143	0	0	0	0	1057	424	534	138	213	0	0	569	458	0	0
MAP3K13	242.000000	0	0	0	0	546	409	937	0	186	0	0	0	1042	268	0
SZT2	241.928571	0	0	0	0	673	341	515	148	172	0	0	502	740	296	0
MED8	241.928571	0	0	0	0	673	341	515	148	172	0	0	502	740	296	0
ACYP2	241.357143	0	0	0	0	612	292	856	158	285	0	0	296	569	311	0
TAF13	241.142857	0	0	0	0	394	297	753	170	173	0	0	272	914	403	0
RNMT	240.642857	0	0	0	0	543	351	690	177	247	0	0	438	764	159	0
FAM210A	240.642857	0	0	0	0	543	351	690	177	247	0	0	438	764	159	0
TMEM199	240.142857	0	0	0	0	788	197	566	79	224	0	0	425	886	197	0
POLDIP2	240.142857	0	0	0	0	788	197	566	79	224	0	0	425	886	197	0
XPOT	239.714286	0	0	0	0	722	0	698	0	0	0	0	269	1220	447	0
RBSN	239.642857	0	0	0	0	768	174	552	100	303	0	0	528	715	215	0
PRPF6	239.500000	0	0	0	0	520	288	440	121	243	0	0	342	1094	305	0
BOLA2-SMG1P6	239.285714	0	0	0	0	461	301	599	167	258	0	0	349	894	321	0
PCGF1	239.214286	0	0	0	0	459	470	582	0	74	0	0	599	793	372	0
DDOST	238.857143	0	0	0	0	622	0	241	0	253	0	0	840	1026	362	0
KCTD5	238.785714	0	0	0	0	787	409	550	172	250	0	0	366	644	165	0
SRD5A1	237.642857	0	0	0	0	614	316	640	0	104	0	0	355	1158	140	0
LSM5	237.214286	0	0	0	0	751	233	674	198	219	0	0	280	664	302	0
TMEM203	236.857143	0	0	0	0	709	244	902	174	0	0	0	450	745	92	0
NDOR1	236.857143	0	0	0	0	709	244	902	174	0	0	0	450	745	92	0
NDUFS1	236.000000	0	0	0	0	575	302	515	164	259	0	0	233	897	359	0
EEF1B2	236.000000	0	0	0	0	575	302	515	164	259	0	0	233	897	359	0
EBNA1BP2	235.714286	0	0	0	0	622	278	632	172	341	0	0	475	583	197	0
CFAP57	235.714286	0	0	0	0	622	278	632	172	341	0	0	475	583	197	0
TMCO1	235.571429	0	0	0	0	872	219	882	178	375	0	0	473	299	0	0
BCL10	235.357143	0	0	0	0	710	220	873	69	175	0	0	148	596	504	0
MDM4	235.214286	0	0	0	0	625	159	540	0	166	0	0	402	1194	207	0
SLC35E1	235.071429	0	0	0	0	880	299	669	0	261	0	0	386	600	196	0
TAF3	235.000000	0	0	0	0	644	145	544	124	397	0	0	313	864	259	0
SPTLC1	234.785714	0	0	0	0	887	126	668	109	239	0	0	288	661	309	0
SERP1	234.714286	0	0	0	0	223	212	319	0	112	0	0	234	1720	466	0
EIF2A	234.714286	0	0	0	0	223	212	319	0	112	0	0	234	1720	466	0
TRMT12	234.357143	0	0	0	0	574	312	424	0	116	0	0	277	750	828	0
RBM28	233.142857	0	0	0	0	745	250	551	232	404	0	0	453	331	298	0
PDE12	232.357143	0	0	0	0	719	464	575	128	160	0	0	223	687	297	0
GATAD1	232.357143	0	0	0	0	511	206	649	0	198	0	0	532	911	246	0
UBA52	232.285714	0	0	0	0	789	130	344	63	312	0	0	345	1004	265	0
AIM2	231.642857	0	0	0	0	1786	0	0	0	0	0	0	1457	0	0	0
TTC23L	231.500000	0	0	0	0	710	0	0	91	162	0	0	590	1346	342	0
UBE2V2	230.785714	0	0	0	0	450	201	566	89	169	0	0	416	1113	227	0
BRIX1	229.857143	0	0	0	0	775	277	799	136	375	0	0	233	428	195	0
KLHDC4	229.285714	0	0	0	0	426	173	673	142	201	0	0	497	840	258	0
TMEM208	228.714286	0	0	0	0	742	176	520	243	301	0	0	585	446	189	0
LRRC29	228.714286	0	0	0	0	742	176	520	243	301	0	0	585	446	189	0
RPL27A	227.428571	0	0	0	0	566	754	603	88	89	0	0	409	675	0	0
SRF	227.142857	0	0	0	0	506	291	254	0	0	0	0	601	717	811	0
PRKAR1B	227.142857	0	0	0	0	594	115	563	149	193	0	0	358	916	292	0
ING1	227.071429	0	0	0	0	847	318	477	0	173	0	0	401	669	294	0
LTO1	227.000000	0	0	0	0	533	183	767	80	214	0	0	258	935	208	0
SUB1	226.285714	0	0	0	0	634	443	899	0	121	0	0	630	441	0	0
ZNF687	225.928571	0	0	0	0	308	296	358	0	0	0	0	232	1448	521	0
SAXO1	225.571429	0	0	0	0	584	423	472	118	226	0	0	352	728	255	0
RRAGA	225.571429	0	0	0	0	584	423	472	118	226	0	0	352	728	255	0
UBR4	225.000000	0	0	0	0	565	109	615	121	366	0	0	509	671	194	0
EGR4	224.142857	0	0	0	0	936	0	149	0	0	0	0	129	1250	674	0
KMT5A	224.071429	0	0	0	0	407	492	539	109	180	0	0	391	719	300	0
MAGOH	223.714286	0	0	0	0	669	342	583	0	231	0	0	533	577	197	0
RPF2	223.500000	0	0	0	0	566	344	772	162	309	0	0	362	441	173	0
HARS2	223.500000	0	0	0	0	694	253	654	104	301	0	0	373	622	128	0
HARS1	223.500000	0	0	0	0	694	253	654	104	301	0	0	373	622	128	0
ANKRD42	222.714286	0	0	0	0	478	348	628	158	212	0	0	340	776	178	0
ZC3H10	222.571429	0	0	0	0	648	211	796	131	425	0	0	441	464	0	0
SCAND1	222.500000	0	0	0	0	309	352	686	131	230	0	0	395	798	214	0
ARF4	222.428571	0	0	0	0	494	426	413	0	124	0	0	321	1048	288	0
DDX19B	222.285714	0	0	0	0	759	289	694	152	253	0	0	235	530	200	0
PARS2	220.928571	0	0	0	0	597	169	563	0	93	0	0	380	1017	274	0
DDX19A	220.928571	0	0	0	0	599	269	593	148	335	0	0	353	615	181	0
ZNF12	219.928571	0	0	0	0	499	291	508	0	0	0	0	558	971	252	0
GOLGA3	219.142857	0	0	0	0	512	213	490	92	128	0	0	318	973	342	0
COPS7A	219.142857	0	0	0	0	823	339	558	199	189	0	0	183	591	186	0
VIRMA	218.428571	0	0	0	0	327	197	397	80	84	0	0	270	1376	327	0
PPME1	218.285714	0	0	0	0	294	342	386	0	148	0	0	165	1380	341	0
C2CD3	218.285714	0	0	0	0	294	342	386	0	148	0	0	165	1380	341	0
AP4E1	218.285714	0	0	0	0	509	109	586	117	278	0	0	296	875	286	0
POLRMT	218.142857	0	0	0	0	761	249	571	108	287	0	0	579	365	134	0
LOC114841035	217.071429	0	0	0	0	563	245	610	70	132	0	0	228	931	260	0
FKBP2	217.071429	0	0	0	0	563	245	610	70	132	0	0	228	931	260	0
NUP214	216.928571	0	0	0	0	543	277	631	0	157	0	0	868	561	0	0
P4HB	216.428571	0	0	0	0	431	267	511	130	216	0	0	211	1086	178	0
RBAK-RBAKDN	216.142857	0	0	0	0	556	307	377	78	0	0	0	413	974	321	0
RBAK	216.142857	0	0	0	0	556	307	377	78	0	0	0	413	974	321	0
AURKAIP1	215.928571	0	0	0	0	662	266	371	0	180	0	0	401	909	234	0
SRSF5	215.642857	0	0	0	0	479	260	663	165	238	0	0	135	866	213	0
IKZF4	215.500000	0	0	0	0	955	103	875	116	330	0	0	374	264	0	0
RB1CC1	215.428571	0	0	0	0	555	468	522	0	120	0	0	408	943	0	0
NME1-NME2	215.428571	0	0	0	0	690	108	514	266	264	0	0	345	704	125	0
NME1	215.428571	0	0	0	0	690	108	514	266	264	0	0	345	704	125	0
YIPF5	215.214286	0	0	0	0	929	232	570	0	136	0	0	179	731	236	0
KCTD16	215.214286	0	0	0	0	929	232	570	0	136	0	0	179	731	236	0
GTF2H2C_2	215.214286	0	0	0	0	783	122	629	186	312	0	0	356	474	151	0
STK4	215.000000	0	0	0	0	446	232	546	102	265	0	0	343	727	349	0
FRA10AC1	214.857143	0	0	0	0	746	155	565	308	426	0	0	141	515	152	0
PRKAB1	214.642857	0	0	0	0	484	275	480	0	286	0	0	208	981	291	0
SLX4	213.214286	0	0	0	0	207	315	410	0	0	0	0	244	1273	536	0
