Target_genes	ELK4|Average	SRX065548|293	SRX065549|293	SRX150669|293	SRX644407|DU_145	SRX028644|HeLa	SRX028645|HeLa	SRX150431|HeLa	SRX13007931|Hep_G2	SRX13007932|Hep_G2	STRING
TAF3	199.555556	307	0	0	0	233	324	557	0	375	0
MED18	199.222222	0	0	0	0	287	560	755	0	191	0
PPP1R35	198.777778	244	0	0	0	338	445	644	0	118	0
RPF2	198.111111	126	0	0	0	309	497	741	0	110	0
COMMD2	197.666667	0	0	0	0	315	655	809	0	0	0
KLHL18	197.000000	186	0	0	0	288	503	730	0	66	0
KIF9	197.000000	186	0	0	0	288	503	730	0	66	0
XAB2	196.555556	204	0	101	0	333	453	678	0	0	0
NME7	196.000000	178	0	0	0	266	567	753	0	0	0
BLZF1	196.000000	178	0	0	0	266	567	753	0	0	0
ZNF384	195.555556	161	0	0	0	392	450	757	0	0	0
CCAR2	195.444444	97	0	0	0	400	410	701	0	151	0
MTRNR2L10	194.444444	0	237	285	186	364	261	417	0	0	0
KLHL20	194.333333	0	0	0	0	219	681	849	0	0	0
TMEM208	194.111111	92	0	0	0	452	372	767	0	64	0
LRRC29	194.111111	92	0	0	0	452	372	767	0	64	0
XRCC5	193.555556	131	0	0	0	235	408	608	0	360	0
NDUFS5	191.888889	0	0	0	0	366	559	802	0	0	0
DDX19B	190.222222	0	0	0	0	297	507	765	0	143	0
CTU1	189.333333	121	0	0	0	410	344	706	0	123	0
THUMPD3	188.777778	171	0	0	0	277	452	646	0	153	0
PURB	188.444444	142	0	0	0	325	414	644	0	171	0
DPP9	188.222222	116	0	0	0	380	402	689	107	0	0
CORO1C	188.222222	359	0	87	0	327	212	482	0	227	0
RPS3A	187.888889	229	0	120	0	286	387	566	0	103	0
MED17	187.444444	0	0	0	0	349	535	803	0	0	0
ZNF335	187.111111	157	0	0	0	284	505	738	0	0	0
TTC13	186.777778	468	0	119	0	223	248	420	0	203	0
TOMM6	186.444444	130	0	0	0	309	436	727	0	76	0
ZMPSTE24	185.666667	146	0	0	0	232	552	741	0	0	0
LRRC61	185.000000	447	0	103	0	112	334	464	0	205	0
ACTR3C	185.000000	447	0	103	0	112	334	464	0	205	0
ZC3H10	184.777778	184	0	0	0	344	332	613	0	190	0
ADAM17	184.777778	166	0	0	0	349	396	625	0	127	0
HOMER1	184.222222	497	81	150	86	126	248	327	0	143	0
CWC25	183.888889	0	0	0	0	264	444	602	177	168	0
C19orf25	183.666667	183	0	0	0	316	446	708	0	0	0
TAF13	183.111111	140	0	0	0	273	451	680	0	104	0
RBBP5	183.000000	0	0	0	0	257	585	805	0	0	0
LDAH	182.666667	0	0	0	0	303	338	587	133	283	0
PPP1R11	182.222222	291	0	0	0	248	474	627	0	0	0
SF3B5	182.000000	403	0	99	0	257	270	488	0	121	0
NSUN5	182.000000	0	0	0	0	310	418	653	0	257	0
CHMP3	181.888889	399	0	110	0	287	231	495	0	115	0
SLX1B	181.666667	217	0	0	0	373	318	595	0	132	0
SLX1A	181.666667	217	0	0	0	373	318	595	0	132	0
BOLA2B	181.666667	217	0	0	0	373	318	595	0	132	0
BOLA2	181.666667	217	0	0	0	373	318	595	0	132	0
TMEM60	181.555556	359	0	111	0	172	394	528	0	70	0
PHTF2	181.555556	359	0	111	0	172	394	528	0	70	0
NDUFA4	181.444444	160	0	0	0	286	473	714	0	0	0
MAP3K13	181.444444	0	0	0	0	371	467	716	0	79	0
MUL1	181.111111	229	0	0	0	336	343	611	0	111	0
TPRKB	180.444444	211	0	0	0	316	373	602	0	122	0
TSSK6	179.888889	189	0	0	0	283	363	550	0	234	0
NDUFA13	179.888889	189	0	0	0	283	363	550	0	234	0
HARS2	179.222222	155	0	0	0	273	422	641	0	122	0
HARS1	179.222222	155	0	0	0	273	422	641	0	122	0
KCTD5	178.777778	117	0	0	0	252	393	594	0	253	0
TUT1	178.666667	0	0	0	0	321	501	786	0	0	0
RBM3	178.666667	0	0	0	0	399	449	760	0	0	0
LIMA1	178.666667	156	76	87	0	201	477	611	0	0	0
CAPN15	178.222222	594	0	134	0	158	153	286	0	279	0
ERCC5	178.111111	0	0	0	0	377	448	778	0	0	0
ARPC3	178.111111	198	0	0	0	294	374	628	0	109	0
HEXA	177.555556	119	0	0	0	332	383	669	0	95	0
ZNF593	177.333333	0	0	0	0	412	352	697	0	135	0
C1orf232	177.333333	0	0	0	0	412	352	697	0	135	0
BOLA2-SMG1P6	177.333333	217	0	0	0	350	318	587	0	124	0
TPD52L2	177.222222	111	0	0	0	395	378	711	0	0	0
ZNF687	176.222222	255	89	107	0	302	284	549	0	0	0
B4GALT1	175.666667	0	0	0	0	0	0	1581	0	0	0
GTF2H2C_2	175.222222	127	0	0	0	251	396	624	0	179	0
NPAS4	174.888889	0	0	0	0	0	0	0	0	1574	0
COPB2	174.777778	0	0	0	0	411	350	674	0	138	0
PCM1	174.111111	188	0	0	0	293	378	620	0	88	0
RPL29	173.888889	0	0	0	0	266	539	760	0	0	0
UBLCP1	173.777778	199	0	0	0	222	480	663	0	0	0
TXNDC17	173.666667	253	0	108	0	228	308	514	0	152	0
KIAA0753	173.666667	253	0	108	0	228	308	514	0	152	0
SPATA33	173.000000	163	0	0	0	332	281	636	0	145	0
MTMR14	172.555556	461	0	155	0	107	293	410	0	127	0
PALB2	172.444444	0	0	0	0	304	389	706	0	153	0
DCTN5	172.444444	0	0	0	0	304	389	706	0	153	0
LRRC8A	171.666667	131	0	0	0	253	487	674	0	0	0
KYAT1	171.666667	131	0	0	0	253	487	674	0	0	0
SNRPC	171.000000	0	0	0	0	133	554	693	0	159	0
CCNT1	170.444444	0	0	0	0	398	380	756	0	0	0
TIMM23	170.111111	126	0	0	0	226	410	573	0	196	0
RER1	169.777778	365	0	102	0	172	330	458	0	101	0
MORN1	169.777778	365	0	102	0	172	330	458	0	101	0
CEP20	169.222222	275	0	0	0	155	344	493	0	256	0
XRCC4	169.111111	367	0	103	0	161	327	442	0	122	0
TMEM167A	169.111111	367	0	103	0	161	327	442	0	122	0
SLC33A1	167.777778	165	0	0	0	262	386	595	0	102	0
STX16	167.666667	0	0	0	0	213	388	577	137	194	0
UQCRH	167.333333	109	0	0	0	321	423	653	0	0	0
LRRC41	167.333333	109	0	0	0	321	423	653	0	0	0
SNRPD1	166.777778	156	0	0	0	192	409	589	0	155	0
P4HB	166.777778	271	0	0	0	267	308	556	0	99	0
RFWD3	166.000000	191	0	99	0	226	334	506	0	138	0
NIP7	166.000000	0	0	0	0	228	467	643	0	156	0
COG8	166.000000	0	0	0	0	228	467	643	0	156	0
TRMT12	165.666667	0	99	119	0	247	425	601	0	0	0
THAP1	164.888889	158	0	0	0	280	404	642	0	0	0
MDM4	164.666667	153	0	0	0	256	411	662	0	0	0
TIMM10B	164.333333	186	0	0	0	338	284	586	0	85	0
ARFIP2	164.333333	186	0	0	0	338	284	586	0	85	0
OXNAD1	164.222222	213	0	62	0	311	325	567	0	0	0
DPH3	164.222222	213	0	62	0	311	325	567	0	0	0
BLOC1S1	164.000000	0	0	0	0	272	492	712	0	0	0
TINF2	163.888889	0	0	0	0	274	412	578	0	211	0
ZSCAN9	163.222222	0	0	0	0	317	458	694	0	0	0
UBA2	163.000000	178	0	0	0	330	256	526	0	177	0
CLP1	163.000000	238	0	97	0	194	297	446	81	114	0
PWWP3A	162.222222	1121	0	214	0	0	0	125	0	0	0
SF3B3	162.000000	86	0	0	0	192	552	628	0	0	0
NCSTN	162.000000	145	0	0	0	257	479	577	0	0	0
COPA	162.000000	145	0	0	0	257	479	577	0	0	0
COG4	162.000000	86	0	0	0	192	552	628	0	0	0
WDR83OS	161.888889	0	0	0	0	245	541	671	0	0	0
WDR83	161.888889	0	0	0	0	245	541	671	0	0	0
VPS25	161.000000	0	0	0	0	254	382	592	0	221	0
EIF2AK3	161.000000	271	107	133	0	124	322	418	0	74	0
GABPB2	160.888889	197	0	0	0	250	391	610	0	0	0
NDUFB3	160.333333	0	0	0	0	176	495	627	0	145	0
FAM126B	160.333333	0	0	0	0	176	495	627	0	145	0
SLC25A44	160.111111	120	0	0	0	201	488	632	0	0	0
PIBF1	159.444444	211	0	90	0	302	237	521	0	74	0
DIS3	159.444444	211	0	90	0	302	237	521	0	74	0
PIGBOS1	159.333333	0	0	0	0	399	282	629	0	124	0
PIGB	159.333333	0	0	0	0	399	282	629	0	124	0
IMMT	159.333333	266	0	0	0	212	260	461	0	235	0
TBL3	158.111111	0	0	0	0	348	315	609	0	151	0
SKP2	158.111111	143	0	0	0	227	395	598	0	60	0
LMBRD2	158.111111	143	0	0	0	227	395	598	0	60	0
RBM22	158.000000	145	0	0	0	235	399	643	0	0	0
GTF2H2	158.000000	127	0	0	0	251	350	515	0	179	0
TMEM199	157.444444	238	0	0	0	267	268	500	0	144	0
POLDIP2	157.444444	238	0	0	0	267	268	500	0	144	0
PRRG2	157.222222	0	0	0	0	274	458	683	0	0	0
NOSIP	157.222222	0	0	0	0	274	458	683	0	0	0
ZNF184	157.111111	0	0	0	0	282	374	660	0	98	0
CXorf56	157.111111	0	0	0	0	279	424	711	0	0	0
KRR1	156.888889	0	0	0	0	215	457	588	0	152	0
TSR3	156.555556	114	0	0	0	269	324	537	0	165	0
GNPTG	156.555556	114	0	0	0	269	324	537	0	165	0
SMG5	156.444444	84	0	0	0	392	281	651	0	0	0
RAD50	156.222222	150	0	0	0	191	314	541	0	210	0
WDR36	155.666667	0	0	0	0	221	425	590	0	165	0
GPR137	155.444444	110	0	0	0	322	365	602	0	0	0
H4C3	155.333333	0	0	0	0	218	468	616	0	96	0
SETD5	155.111111	201	0	95	0	217	363	520	0	0	0
TMEM258	154.555556	0	0	0	0	380	367	644	0	0	0
FEN1	154.555556	0	0	0	0	380	367	644	0	0	0
INSM2	154.333333	0	0	0	0	0	0	0	0	1389	0
CAP1	154.333333	292	0	78	0	261	277	481	0	0	0
RAPGEF6	154.222222	0	0	0	0	284	423	681	0	0	0
USP32	154.000000	191	0	0	0	218	361	515	0	101	0
RB1CC1	153.555556	153	0	0	0	290	342	597	0	0	0
PARG	153.444444	187	0	0	0	206	367	531	0	90	0
RPL27A	153.222222	0	0	0	0	235	464	680	0	0	0
RAD51AP1	152.888889	129	0	0	0	200	440	607	0	0	0
C12orf4	152.888889	129	0	0	0	200	440	607	0	0	0
IQSEC3	152.555556	0	0	0	0	0	0	0	0	1373	0
SETDB1	152.222222	0	0	0	0	350	363	657	0	0	0
RPL12	152.222222	0	0	0	0	379	353	638	0	0	0
LRSAM1	152.222222	0	0	0	0	379	353	638	0	0	0
KHDC4	151.888889	0	0	0	0	250	438	679	0	0	0
FANCL	151.777778	0	0	0	0	141	429	537	0	259	0
OSGIN2	151.444444	248	0	0	91	164	391	469	0	0	0
EXOSC4	151.111111	0	0	0	0	203	499	658	0	0	0
ATG16L1	150.666667	172	0	0	0	172	374	495	0	143	0
NOC3L	150.111111	0	0	0	0	370	242	529	0	210	0
PAIP2	150.000000	96	0	0	0	259	419	576	0	0	0
NCBP2AS2	149.777778	245	0	0	0	237	290	447	0	129	0
NCBP2	149.777778	245	0	0	0	237	290	447	0	129	0
COG3	149.777778	140	0	0	0	282	329	597	0	0	0
TRIP4	149.555556	0	0	0	0	267	436	643	0	0	0
SENP1	149.555556	0	0	0	0	224	412	560	0	150	0
PFKM	149.555556	0	0	0	0	224	412	560	0	150	0
GPATCH4	149.333333	0	0	0	0	346	370	628	0	0	0
SENP7	149.111111	0	0	0	0	163	523	656	0	0	0
SNAP47	149.000000	0	0	0	0	231	401	598	0	111	0
JMJD4	149.000000	0	0	0	0	231	401	598	0	111	0
TIMM10	148.777778	0	0	0	0	277	425	637	0	0	0
RUBCN	148.777778	338	0	0	0	236	205	431	0	129	0
SLC35A4	148.666667	208	0	0	0	257	339	534	0	0	0
GTF2H2C	148.666667	0	0	0	0	221	396	624	0	97	0
APBB3	148.666667	208	0	0	0	257	339	534	0	0	0
AP3S2	148.111111	0	0	0	0	211	380	514	129	99	0
TOGARAM1	148.000000	0	0	0	0	399	292	641	0	0	0
RBM28	148.000000	0	0	0	0	224	306	512	0	290	0
OTUD7B	148.000000	133	0	0	0	275	291	535	0	98	0
KMT5A	148.000000	0	0	0	0	285	401	646	0	0	0
KLHL28	148.000000	0	0	0	0	399	292	641	0	0	0
SLC39A9	147.777778	155	0	0	0	132	436	513	0	94	0
ERH	147.777778	155	0	0	0	132	436	513	0	94	0
CYP4V2	147.666667	216	0	0	0	203	309	454	0	147	0
MYL12B	147.555556	275	0	0	0	219	253	415	0	166	0
AQR	147.222222	0	0	0	0	203	430	614	0	78	0
RPAIN	147.111111	275	0	0	0	211	300	457	0	81	0
NUP88	147.111111	275	0	0	0	211	300	457	0	81	0
TSSC4	146.555556	228	0	101	0	228	278	484	0	0	0
SLC25A33	146.444444	685	0	125	0	111	0	241	0	156	0
GALK2	146.444444	0	0	0	0	134	584	600	0	0	0
COPS2	146.444444	0	0	0	0	134	584	600	0	0	0
RAB11A	145.222222	178	0	0	0	247	351	531	0	0	0
LONP2	145.222222	0	0	0	0	186	371	541	0	209	0
ABCC11	145.222222	0	0	0	0	186	371	541	0	209	0
RIC8B	145.000000	0	0	0	0	268	345	588	104	0	0
TRMT44	144.888889	141	0	0	0	264	247	506	0	146	0
ACOX3	144.888889	141	0	0	0	264	247	506	0	146	0
PEX12	144.444444	133	0	0	0	205	386	576	0	0	0
C2orf42	143.555556	193	0	0	0	274	263	468	0	94	0
GOSR2	143.444444	172	0	0	0	317	265	537	0	0	0
FBXW9	143.444444	0	0	0	0	303	270	518	0	200	0
METTL15	143.111111	0	0	0	0	227	437	624	0	0	0
KIF18A	143.111111	0	0	0	0	227	437	624	0	0	0
SERP1	143.000000	0	0	0	0	286	350	551	0	100	0
EIF2A	143.000000	0	0	0	0	286	350	551	0	100	0
PGS1	142.888889	197	0	0	0	151	260	395	0	283	0
DDX5	142.555556	96	0	0	0	195	343	490	0	159	0
STAU1	142.444444	0	0	0	0	293	249	476	174	90	0
EXOC5	141.888889	134	0	0	0	267	313	563	0	0	0
AP5M1	141.888889	134	0	0	0	267	313	563	0	0	0
ALG10	141.666667	0	0	0	0	172	432	555	0	116	0
POLR2M	141.444444	0	0	0	0	283	354	636	0	0	0
RPL10	141.222222	138	0	0	0	219	347	567	0	0	0
MRPL24	141.000000	102	0	0	0	300	287	501	79	0	0
MCAT	140.777778	203	0	0	0	157	192	344	0	371	0
TMEM9B	140.555556	113	0	0	0	248	275	505	0	124	0
LSG1	140.444444	0	0	0	0	255	428	581	0	0	0
TAF1B	140.333333	239	0	0	0	209	324	491	0	0	0
REXO4	140.333333	0	0	0	0	318	336	609	0	0	0
HSPA9	140.000000	229	0	109	0	240	228	454	0	0	0
U2SURP	139.888889	0	0	0	0	260	361	556	0	82	0
MYG1	139.777778	0	0	0	0	322	343	593	0	0	0
C16orf91	139.777778	116	0	0	0	244	307	502	0	89	0
TRIP13	139.444444	377	0	0	0	265	182	431	0	0	0
BRD9	139.444444	377	0	0	0	265	182	431	0	0	0
C18orf25	139.000000	0	0	0	0	171	468	612	0	0	0
NME1-NME2	138.111111	0	0	0	0	137	435	516	0	155	0
NME1	138.111111	0	0	0	0	137	435	516	0	155	0
DDX19A	138.111111	0	0	0	0	338	272	534	0	99	0
MAN2C1	137.777778	0	0	0	0	210	393	551	0	86	0
SPG11	137.666667	0	0	0	0	241	351	536	0	111	0
VIRMA	137.000000	169	0	0	0	187	383	494	0	0	0
MTRNR2L6	137.000000	0	177	238	0	305	228	285	0	0	0
TEX10	136.777778	260	0	0	0	116	330	405	0	120	0
CLPTM1	136.555556	0	0	0	0	279	350	600	0	0	0
